"University of Kentucky  ,Lexington, KY",All Engg,26154
"University of Nebraska-- Lincoln  ,Lincoln, NE",All Engg,19278
"University of Kansas  ,Lawrence, KS",All Engg,15840
"University of Oklahoma  ,Norman, OK",All Engg,13320
"Indiana University- Purdue University-- Indianapolis  ,Indianapolis, IN",All Engg,19242
"Kansas State University  ,Manhattan, KS",All Engg,15462
"Louisiana State University-- Baton Rouge  ,Baton Rouge, LA",All Engg,25643
"University of Maryland-- Baltimore County  ,Baltimore, MD",All Engg,17424
"University of South Florida  ,Tampa, FL",All Engg,21126
"Brigham Young University (Fulton)  ,Provo, UT",All Engg,13000
"Mississippi State University (Bagley)  ,Mississippi State, MS",All Engg,20032
"Tulane University  ,New Orleans, LA",All Engg,47658
"University of Alabama  ,Tuscaloosa, AL",All Engg,25950
"University of South Carolina  ,Columbia, SC",All Engg,27940
"West Virginia University  ,Morgantown, WV",All Engg,23832
"Wichita State University  ,Wichita, KS",All Engg,12096
"George Mason University (Volgenau)  ,Fairfax, VA",All Engg,28448
"Oklahoma State University  ,Stillwater, OK",All Engg,14148
"Southern Methodist University (Lyle)  ,Dallas, TX",All Engg,20970
"University of Arkansas-- Fayetteville  ,Fayetteville, AR",All Engg,17784
"University of Texas Health Science Center-- San Antonio  ,San Antonio, TX",All Engg,18018
"University of Tulsa  ,Tulsa, OK",All Engg,21168
"Baylor University  ,Waco, TX",All Engg,27270
"Florida A&M University -  Florida State University  ,Tallahassee, FL",All Engg,18090
"University of Massachusetts-- Lowell (Francis)  ,Lowell, MA",All Engg,23303
"University of Wisconsin-- Milwaukee  ,Milwaukee, WI",All Engg,24761
"Clarkson University  ,Potsdam, NY",All Engg,26226
"Embry- Riddle Aeronautical University  ,Daytona Beach, FL",All Engg,23958
"New Mexico Institute of Mining and Technology  ,Socorro, NM",All Engg,19220
"University of Miami  ,Coral Gables, FL",All Engg,33300
"Binghamton University-- SUNY (Watson)  ,Binghamton, NY",All Engg,22210
"CUNY-- City College (Grove)  ,New York, NY",All Engg,15660
"Marquette University  ,Milwaukee, WI",All Engg,18900
"University of Akron  ,Akron, OH",All Engg,13462
"University of Louisville (Speed)  ,Louisville, KY",All Engg,24274
"University of Wyoming  ,Laramie, WY",All Engg,12474
